ID,Code,Name,VariableName,DeviceID,OPCClass,DataClass,ParameterDesc,AnalysisOrder,ActOrder,Reversed,DataAction,ServerId,InternalTime,DataType,DataLength,Protocol,KeyChar,AuxiliaryChar,EditTime,CreatorID,CreateTime,EditorID,Active,PositionID,ValueLeft,ValueRight,ParseFuncID
1,112017Standstill_WaitFeed,"等待 缺料",Standstill_WaitFeed,242,,1,,17,0,0,4,99,0,1,0,OPC,,,"2023-07-15 14:53:55",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
2,112017Standstill_NC_Suspend,"等待 NC暂停",Standstill_NC_Suspend,242,,1,,16,0,0,4,99,0,1,0,OPC,,,"2023-07-15 14:53:55",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
3,112017Standstill,等待,Standstill,242,,1,,8,0,0,4,99,0,1,0,OPC,,,"2023-07-15 14:53:55",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
4,112017Alarm,故障,Alarm,242,,1,,4,0,0,4,99,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
5,112017Stop,停止,Stop,242,,1,,2,0,0,4,99,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
6,112017Production,生产,Production,242,,1,,1,0,0,4,99,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
7,112017PowerOn,开机,PowerOn,242,,1,,0,0,0,4,99,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
8,112016Standstill_WaitFeed,"等待 缺料",Standstill_WaitFeed,241,,1,,17,0,0,4,98,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
9,112016Standstill_NC_Suspend,"等待 NC暂停",Standstill_NC_Suspend,241,,1,,16,0,0,4,98,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
10,112016Standstill,等待,Standstill,241,,1,,8,0,0,4,98,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
11,112016Alarm,故障,Alarm,241,,1,,4,0,0,4,98,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
12,112016Stop,停止,Stop,241,,1,,2,0,0,4,98,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
13,112016Production,生产,Production,241,,1,,1,0,0,4,98,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
14,112016PowerOn,开机,PowerOn,241,,1,,0,0,0,4,98,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
15,112015Standstill_WaitFeed,"等待 缺料",Standstill_WaitFeed,240,,1,,17,0,0,4,97,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
16,112015Standstill_NC_Suspend,"等待 NC暂停",Standstill_NC_Suspend,240,,1,,16,0,0,4,97,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
17,112015Standstill,等待,Standstill,240,,1,,8,0,0,4,97,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
18,112015Alarm,故障,Alarm,240,,1,,4,0,0,4,97,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
19,112015Stop,停止,Stop,240,,1,,2,0,0,4,97,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
20,112015Production,生产,Production,240,,1,,1,0,0,4,97,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
21,112015PowerOn,开机,PowerOn,240,,1,,0,0,0,4,97,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
22,112014Standstill_WaitFeed,"等待 缺料",Standstill_WaitFeed,239,,1,,17,0,0,4,96,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
23,112014Standstill_NC_Suspend,"等待 NC暂停",Standstill_NC_Suspend,239,,1,,16,0,0,4,96,0,1,0,OPC,,,"2023-07-15 14:53:56",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
24,112014Standstill,等待,Standstill,239,,1,,8,0,0,4,96,0,1,0,OPC,,,"2023-07-15 14:53:57",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
25,112014Alarm,故障,Alarm,239,,1,,4,0,0,4,96,0,1,0,OPC,,,"2023-07-15 14:53:57",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
26,112014Stop,停止,Stop,239,,1,,2,0,0,4,96,0,1,0,OPC,,,"2023-07-15 14:53:57",-100,"2023-03-20 10:49:44",-100,1,0,0,0,0
